#SampleID	BarcodeSequence	LinkerPrimerSequence	SP	family_or_tribe	type	Code	Main_Diet	Diet_Category	Location	Basin	Heb	Lat	Lon	Date	Time	T	Conductivity  	ConductivityA	Salinity	PercentO	pH	Sampling site
AS185	AA	AA	Acanthobrama lissneri	Cyprinidae	swab	Acanthobrama lissneri	invertebrates	B	SnirYatedotDownstrerm	N	שניר_שמורה_ידיות	792989	258100	1/10/2017	09:30	19.25	286	255	0.14	10.24	6.6	S.3
AS82	AA	AA	Astatotilapia flaviijosephi	Haplochrominae	swab	Astatotilapia	invertebrates	B	AsiCemetery	S	ניר_דויד_בית_קברות			14/8/2017	15:55	31.67	3917		2.04	9.7	8.6	A
AS83	AA	AA	Astatotilapia flaviijosephi	Haplochrominae	swab	Astatotilapia	invertebrates	B	AsiCemetery	S	ניר_דויד_בית_קברות			14/8/2017	15:55	31.67	3917		2.04	9.7	8.6	A
AS84	AA	AA	Astatotilapia flaviijosephi	Haplochrominae	swab	Astatotilapia	invertebrates	B	AsiCemetery	S	ניר_דויד_בית_קברות			14/8/2017	15:55	31.67	3917		2.04	9.7	8.6	A
AS136	AA	AA	Barbus canis	Cyprinidae	swab	Barbus canis	invertebrates	B	NabiYuda	N	באניאס_מעלה_בריכת_שיקוע	260805	791387	31/8/2017	15:30	20.3	491	444	0.24			H.0.6
AS137	AA	AA	Barbus canis	Cyprinidae	swab	Barbus canis	invertebrates	B	NabiYuda	N	באניאס_מעלה_בריכת_שיקוע	260805	791387	31/8/2017	15:30	20.3	491	444	0.24			H.0.6
AS159	AA	AA	Barbus canis	Cyprinidae	swab	Barbus canis	invertebrates	B	SnirHydrometricMaayanBaruch	N	שניר_הידרומטרית_מעיין_ברוך			1/10/2017	15:21	23.0	322	310	0.15	9.5	6.75	S.1
AS160	AA	AA	Barbus canis	Cyprinidae	swab	Barbus canis	invertebrates	B	SnirHydrometricMaayanBaruch	N	שניר_הידרומטרית_מעיין_ברוך			1/10/2017	15:21	23.0	322	310	0.15	9.5	6.75	S.1
AS161	AA	AA	Barbus canis	Cyprinidae	swab	Barbus canis	invertebrates	B	SnirHydrometricMaayanBaruch	N	שניר_הידרומטרית_מעיין_ברוך			1/10/2017	15:21	23.0	322	310	0.15	9.5	6.75	S.1
AS162	AA	AA	Barbus canis	Cyprinidae	swab	Barbus canis	invertebrates	B	SnirHydrometricMaayanBaruch	N	שניר_הידרומטרית_מעיין_ברוך			1/10/2017	15:21	23.0	322	310	0.15	9.5	6.75	S.1
AS163	AA	AA	Barbus canis	Cyprinidae	swab	Barbus canis	invertebrates	B	SnirHydrometricMaayanBaruch	N	שניר_הידרומטרית_מעיין_ברוך			1/10/2017	15:21	23.0	322	310	0.15	9.5	6.75	S.1
AS164	AA	AA	Barbus canis	Cyprinidae	swab	Barbus canis	invertebrates	B	SnirDagAlHadanUpStrerm	N	שניר_שמורה_מעל_יוקי	792989	258339	1/10/2017	10:30	20.15	309	280	0.15	9.9	6.6	S.2
AS186	AA	AA	Barbus canis	Cyprinidae	swab	Barbus canis	invertebrates	B	SnirYatedotDownstrerm	N	שניר_שמורה_ידיות	792989	258100	1/10/2017	09:30	19.25	286	255	0.14	10.24	6.6	S.3
AS187	AA	AA	Barbus canis	Cyprinidae	swab	Barbus canis	invertebrates	B	SnirYatedotDownstrerm	N	שניר_שמורה_ידיות	792989	258100	1/10/2017	09:30	19.25	286	255	0.14	10.24	6.6	S.3
AS188	AA	AA	Barbus canis	Cyprinidae	swab	Barbus canis	invertebrates	B	SnirYatedotDownstrerm	N	שניר_שמורה_ידיות	792989	258100	1/10/2017	09:30	19.25	286	255	0.14	10.24	6.6	S.3
AS218	AA	AA	Barbus canis	Cyprinidae	swab	Barbus canis	invertebrates	B	lehavotHabashan	N	ירדן_גשר_להבות_הבשן	783686	259147	2/11/2017	07:30	17.0	332	282	0.16	8.37	7.47	J.1
AS219	AA	AA	Barbus canis	Cyprinidae	swab	Barbus canis	invertebrates	B	lehavotHabashan	N	ירדן_גשר_להבות_הבשן	783686	259147	2/11/2017	07:30	17.0	332	282	0.16	8.37	7.47	J.1
AS220	AA	AA	Barbus canis	Cyprinidae	swab	Barbus canis	invertebrates	B	lehavotHabashan	N	ירדן_גשר_להבות_הבשן	783686	259147	2/11/2017	07:30	17.0	332	282	0.16	8.37	7.47	J.1
AS221	AA	AA	Barbus canis	Cyprinidae	swab	Barbus canis	invertebrates	B	lehavotHabashan	N	ירדן_גשר_להבות_הבשן	783686	259147	2/11/2017	07:30	17.0	332	282	0.16	8.37	7.47	J.1
AS158	AA	AA	Barbus longiceps	Cyprinidae	swab	Barbus longiceps	invertebrates	B	SnirHydrometricMaayanBaruch	N	שניר_הידרומטרית_מעיין_ברוך			1/10/2017	15:21	23.0	322	310	0.15	9.5	6.75	S.1
AS189	AA	AA	Barbus longiceps	Cyprinidae	swab	Barbus longiceps	invertebrates	B	SnirYatedotDownstrerm	N	שניר_שמורה_ידיות	792989	258100	1/10/2017	09:30	19.25	286	255	0.14	10.24	6.6	S.3
AS190	AA	AA	Barbus longiceps	Cyprinidae	swab	Barbus longiceps	invertebrates	B	SnirYatedotDownstrerm	N	שניר_שמורה_ידיות	792989	258100	1/10/2017	09:30	19.25	286	255	0.14	10.24	6.6	S.3
AS191	AA	AA	Barbus longiceps	Cyprinidae	swab	Barbus longiceps	invertebrates	B	SnirYatedotDownstrerm	N	שניר_שמורה_ידיות	792989	258100	1/10/2017	09:30	19.25	286	255	0.14	10.24	6.6	S.3
AS58	AA	AA	Gambusia affinis	Poeciliidae	swab	Gambusia	invertebrates	B	TelSaharonDown	S	תל_סהרון	251421	706367	14/8/2017	07:10	30.44	3080	3394	1.59	7.39	7.48	T.1
AS59	AA	AA	Gambusia affinis	Poeciliidae	swab	Gambusia	invertebrates	B	TelSaharonDown	S	תל_סהרון	251421	706367	14/8/2017	07:10	30.44	3080	3394	1.59	7.39	7.48	T.1
AS60	AA	AA	Gambusia affinis	Poeciliidae	swab	Gambusia	invertebrates	B	TelSaharonDown	S	תל_סהרון	251421	706367	14/8/2017	07:10	30.44	3080	3394	1.59	7.39	7.48	T.1
AS61	AA	AA	Gambusia affinis	Poeciliidae	swab	Gambusia	invertebrates	B	TelSaharonDown	S	תל_סהרון	251421	706367	14/8/2017	07:10	30.44	3080	3394	1.59	7.39	7.48	T.1
AS62	AA	AA	Gambusia affinis	Poeciliidae	swab	Gambusia	invertebrates	B	TelSaharonDown	S	תל_סהרון	251421	706367	14/8/2017	07:10	30.44	3080	3394	1.59	7.39	7.48	T.1
AS74	AA	AA	Gambusia affinis	Poeciliidae	swab	Gambusia	invertebrates	B	AsiCemetery	S	ניר_דויד_בית_קברות			14/8/2017	15:55	31.67	3917		2.04	9.7	8.6	A
