SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
32	2101	307	280
33	2101	51	47
34	2101	323	286
35	2101	398	363
36	2101	139	126
37	2101	520	467
38	2101	179	163
39	2101	324	287
40	2101	56	47
41	2101	232	208
42	2101	467	419
43	2101	1008	905
44	2101	255	229
45	2101	100	93
46	2101	105	98
47	2101	45	36
48	2101	70	62
49	2101	167	147
50	2101	44941	42166
51	2101	249	222
52	2101	207	185
53	2101	432	398
54	2101	43	30
55	2101	178	168
56	2101	115	103
57	2101	65	61
58	2101	52	45
59	2101	25	15
60	2101	94	89
61	2101	175	147
62	2101	65	55
63	2101	113	105
64	2101	119	104
65	2101	49	49
66	2101	274	243
67	2101	125	109
68	2101	121	111
69	2101	153	134
70	2101	98	83
71	2101	266	250
72	2101	177	165
73	2101	50	47
74	2101	870	788
75	2101	680	612
76	2101	735	671
77	2101	553	502
78	2101	967	833
79	2101	514	458
80	2101	491	449
81	2101	88	76
82	2101	129	114
83	2101	76	67
84	2101	21	18
85	2101	86	79
86	2101	329	289
87	2101	245	221
88	2101	1169	1054
89	2101	52	46
90	2101	861	799
91	2101	190	160
92	2101	232	203
93	2101	328	306
94	2101	176	163
95	2101	251	221
96	2101	327	304
0	2102	601916	560650
1	2102	7	7
2	2102	114	106
3	2102	19	15
4	2102	27	25
5	2102	42	38
6	2102	5	4
7	2102	4	3
8	2102	8	5
9	2102	507	463
10	2102	881	806
11	2102	590	544
12	2102	303	259
13	2102	83	75
14	2102	323	285
15	2102	926	835
16	2102	458	415
17	2102	58	54
18	2102	334	310
19	2102	385	357
20	2102	107	95
21	2102	232	209
22	2102	249	218
23	2102	275	245
24	2102	167	146
25	2102	79	69
26	2102	200	174
27	2102	179	146
28	2102	181	155
29	2102	228	214
30	2102	274	241
31	2102	438	395
32	2102	324	295
33	2102	54	44
34	2102	313	286
35	2102	400	358
36	2102	122	106
37	2102	512	456
38	2102	188	172
39	2102	361	319
40	2102	63	53
41	2102	253	231
42	2102	468	418
43	2102	909	823
44	2102	260	244
45	2102	107	99
46	2102	113	101
47	2102	44	38
48	2102	75	72
49	2102	162	149
50	2102	44971	42203
51	2102	240	223
52	2102	179	160
53	2102	466	419
54	2102	52	42
55	2102	178	164
56	2102	127	111
57	2102	49	40
58	2102	56	54
59	2102	27	19
60	2102	94	89
61	2102	144	125
62	2102	84	76
63	2102	99	89
64	2102	117	112
65	2102	39	35
66	2102	252	239
67	2102	144	127
68	2102	118	103
69	2102	153	142
